Trip ID,Date and Time,Distance Driven (miles_driven),Load Type,Delivery Status,Fuel Efficiency (MPG),Diesel Fuel Used (gallons),Driver Name,Driver Experience (years),Hours Worked,Driver Profit ($),Delivery Cost ($),Fuel Cost ($),Profit Margin (%),Cost per Mile ($),Profit per Mile ($),Fuel Cost per Mile ($),Total Revenue ($),Load Time (hrs),Unload Time (hrs),Total Load/Unload Time (hrs),Customer Location,Order Quantity (gallons),Fuel Prices ($/gallon),Delivery Frequency (days)
TRIP-0127,2023-02-15 21:50:16.216216216,212,Diesel,Incomplete,5.96,167,Driver_7,16,14,687,3449,1311.9,20.96,4.67,1.28,1.63,3798,1.07,2.02,2.97,CityE,3868,3.41,13
TRIP-0128,2023-02-16 06:34:57.297297297,468,Ethanol,Late,6.78,54,Driver_8,21,13,1076,1441,1088.14,22.48,1.79,2.04,1.06,5620,2.68,2.34,3.73,CityD,3997,3.56,4
TRIP-0129,2023-02-16 15:19:38.378378378,338,Ethanol,Incomplete,6.11,261,Driver_1,28,13,1048,2407,164.24,7.8,4.94,2.23,1.63,4255,1.93,1.05,3.02,CityA,8674,4.13,10
TRIP-0130,2023-02-17 00:04:19.459459459,428,Ethanol,On-Time,6.36,153,Driver_7,24,11,1452,1743,682.02,26.24,3.95,1.51,0.85,2217,1.19,1.75,5.54,CityA,6142,3.15,20
TRIP-0131,2023-02-17 08:49:00.540540540,310,Gasoline,Late,6.65,297,Driver_6,26,9,1613,4923,1298.79,18.32,4.1,2.69,1.89,2485,2.41,2.39,2.45,CityA,9274,3.96,1
TRIP-0132,2023-02-17 17:33:41.621621621,280,Ethanol,On-Time,6.65,157,Driver_5,30,13,1178,1966,616.91,16.78,3.62,1.54,1.16,6349,1.98,1.51,4.72,CityC,5266,4.79,21
TRIP-0133,2023-02-18 02:18:22.702702703,90,Ethanol,Late,5.61,114,Driver_1,1,8,1812,4457,197.54,29.53,2.89,1.51,1.27,8195,1.38,2.92,3.04,CityE,5133,3.38,8
TRIP-0134,2023-02-18 11:03:03.783783784,77,Gasoline,Late,7.05,170,Driver_6,21,14,1216,2466,1157.34,23.51,3.29,0.59,0.26,8750,1.03,1.06,3.9,CityA,2321,3.66,7
TRIP-0135,2023-02-18 19:47:44.864864865,184,Ethanol,Late,5.26,79,Driver_2,3,7,387,875,1232.75,7.95,1.19,1.88,0.51,7079,1.84,2.92,3.2,CityE,1685,3.79,5
TRIP-0136,2023-02-19 04:32:25.945945946,250,Gasoline,On-Time,5.42,198,Driver_6,20,7,469,762,366.8,23.91,3.5,2.27,1.34,9035,1.17,1.43,3.29,CityE,2137,4.17,3
TRIP-0137,2023-02-19 13:17:07.027027027,377,Gasoline,Late,5.01,133,Driver_4,2,12,1830,4862,875.41,7.38,3.5,0.79,0.96,2507,1.19,1.1,3.04,CityC,7736,4.84,15
TRIP-0138,2023-02-19 22:01:48.108108108,317,Diesel,Incomplete,5.35,247,Driver_2,9,9,509,3888,409.14,5.69,4.56,1.26,1.11,2003,1.53,1.58,5.01,CityD,8880,3.79,27
TRIP-0139,2023-02-20 06:46:29.189189189,467,Diesel,On-Time,6.42,199,Driver_10,19,13,1355,3895,1120.97,15.09,3.02,2.45,0.31,7403,2.26,2.57,3.46,CityA,2246,3.14,17
TRIP-0140,2023-02-20 15:31:10.270270270,82,Ethanol,Incomplete,6.82,259,Driver_6,15,14,1774,2444,516.59,29.84,1.31,1.41,1.7,1925,2.06,2.5,4.91,CityC,6297,3.7,29
TRIP-0141,2023-02-21 00:15:51.351351351,97,Gasoline,Incomplete,7.38,249,Driver_3,18,12,1295,2393,576.89,9.37,2.22,1.1,1.61,9275,1.14,1.42,3.82,CityD,8589,3.38,23
TRIP-0142,2023-02-21 09:00:32.432432432,456,Diesel,Late,5.32,280,Driver_1,26,10,1044,4134,1290.71,21.82,3.62,2.18,0.53,7583,2.94,1.39,4.19,CityD,3120,4.3,13
TRIP-0143,2023-02-21 17:45:13.513513513,111,Diesel,Late,7.55,81,Driver_6,11,13,1895,2152,793.04,9.33,1.96,0.99,1.34,4927,2.77,2.29,4.17,CityA,8097,3.06,15
TRIP-0144,2023-02-22 02:29:54.594594594,265,Diesel,On-Time,7.24,210,Driver_9,25,9,1410,4641,1054.17,23.12,2.12,2.74,1.67,1985,1.52,1.92,5.9,CityE,8502,3.58,27
TRIP-0145,2023-02-22 11:14:35.675675676,342,Diesel,On-Time,6.23,294,Driver_6,23,7,685,4392,693.2,17.63,4.28,0.76,1.35,5231,1.24,2.58,3.47,CityB,6607,4.09,19
TRIP-0146,2023-02-22 19:59:16.756756757,148,Ethanol,Incomplete,7.8,65,Driver_3,16,11,1414,1099,552.31,22.0,3.34,2.27,0.76,6302,2.88,1.05,2.83,CityE,9876,3.55,20
TRIP-0147,2023-02-23 04:43:57.837837838,221,Diesel,Late,7.97,253,Driver_8,22,14,1645,2412,994.4,10.07,3.03,1.75,1.38,6291,1.92,2.22,5.65,CityE,3293,4.1,14
TRIP-0148,2023-02-23 13:28:38.918918919,409,Ethanol,Incomplete,5.62,87,Driver_8,17,6,319,1792,359.06,23.64,2.27,2.67,0.58,1908,1.62,2.46,2.7,CityB,3000,3.23,21
TRIP-0149,2023-02-23 22:13:20.000000000,263,Gasoline,Late,6.14,293,Driver_3,5,12,419,1100,653.55,29.89,3.92,0.82,0.77,6051,1.98,2.99,5.34,CityD,8861,4.89,13
TRIP-0150,2023-02-24 06:58:01.081081081,84,Ethanol,Incomplete,7.78,275,Driver_3,12,14,252,880,432.2,21.64,2.15,2.19,0.63,3586,2.55,2.36,2.6,CityB,5425,3.58,12
TRIP-0151,2023-02-24 15:42:42.162162162,498,Diesel,Late,7.16,191,Driver_2,11,14,1957,4713,1089.32,17.34,3.95,1.93,1.2,2331,1.34,1.46,4.63,CityB,1580,4.85,24
TRIP-0152,2023-02-25 00:27:23.243243243,276,Gasoline,On-Time,5.14,85,Driver_8,30,8,1674,4137,1424.68,28.08,1.28,1.7,0.39,7851,2.53,1.22,2.6,CityC,9955,3.65,29
TRIP-0153,2023-02-25 09:12:04.324324324,150,Gasoline,On-Time,7.34,274,Driver_1,15,10,1635,2663,1493.94,5.4,4.46,1.73,1.88,2806,2.5,2.28,5.69,CityC,5364,4.56,23
TRIP-0154,2023-02-25 17:56:45.405405406,480,Ethanol,Late,7.48,200,Driver_5,27,13,1866,4855,757.87,23.25,3.0,2.3,0.8,1805,2.08,2.05,4.26,CityC,4953,3.49,9
TRIP-0155,2023-02-26 02:41:26.486486487,180,Gasoline,Incomplete,7.25,163,Driver_4,3,13,1460,1598,490.92,27.22,2.75,2.84,0.59,5147,2.73,2.8,3.32,CityD,2748,4.34,27
TRIP-0156,2023-02-26 11:26:07.567567568,306,Ethanol,On-Time,7.4,286,Driver_1,1,9,957,865,747.82,6.54,3.44,0.73,1.09,1071,1.26,2.45,2.56,CityB,1825,3.65,3
TRIP-0157,2023-02-26 20:10:48.648648649,54,Gasoline,Late,7.48,115,Driver_4,20,6,937,3070,1293.81,16.25,3.5,0.55,0.7,1027,2.19,2.02,3.48,CityA,4373,4.02,30
TRIP-0158,2023-02-27 04:55:29.729729730,267,Ethanol,Late,5.56,154,Driver_1,29,6,919,3919,428.11,10.12,1.53,2.51,1.16,9660,1.9,1.81,4.82,CityB,2188,4.35,11
TRIP-0159,2023-02-27 13:40:10.810810811,304,Diesel,Incomplete,5.71,134,Driver_6,16,9,605,2976,1435.33,19.16,4.02,0.77,0.83,4983,1.84,1.81,3.54,CityD,3485,4.18,10
TRIP-0160,2023-02-27 22:24:51.891891892,447,Ethanol,Late,6.9,51,Driver_5,2,11,807,1290,611.52,21.24,2.1,2.97,0.44,9955,1.51,1.45,2.98,CityC,2576,4.15,1
TRIP-0161,2023-02-28 07:09:32.972972973,408,Ethanol,On-Time,7.72,268,Driver_9,2,13,1220,4069,1480.83,12.57,4.62,2.05,0.68,8055,1.74,1.03,4.31,CityD,1961,3.13,17
TRIP-0162,2023-02-28 15:54:14.054054054,332,Diesel,On-Time,5.95,298,Driver_7,3,11,621,1246,1282.12,16.5,4.27,2.13,0.99,7690,1.22,2.15,3.67,CityC,572,3.5,28
TRIP-0163,2023-03-01 00:38:55.135135135,442,Ethanol,Incomplete,6.76,250,Driver_9,8,14,911,812,1241.57,11.98,2.39,1.0,0.25,4832,1.5,1.42,2.66,CityD,6530,4.14,26
TRIP-0164,2023-03-01 09:23:36.216216216,256,Ethanol,Incomplete,7.05,242,Driver_8,24,14,446,1420,579.17,14.23,4.23,1.1,1.59,1559,1.54,1.42,2.62,CityA,5111,3.04,13
TRIP-0165,2023-03-01 18:08:17.297297297,64,Gasoline,On-Time,6.36,124,Driver_5,28,7,271,1577,161.85,8.99,2.43,2.15,1.32,8957,2.44,1.25,4.83,CityC,3296,3.5,14
TRIP-0166,2023-03-02 02:52:58.378378379,395,Ethanol,Incomplete,7.14,116,Driver_1,15,6,384,3329,665.88,27.14,1.4,2.77,1.28,4831,1.1,1.38,5.9,CityC,8217,3.46,1
TRIP-0167,2023-03-02 11:37:39.459459460,91,Gasoline,On-Time,7.7,229,Driver_4,7,7,205,2881,557.44,5.25,4.85,2.96,1.18,8344,2.3,1.06,2.93,CityB,5016,3.5,2
TRIP-0168,2023-03-02 20:22:20.540540541,429,Diesel,Late,6.87,239,Driver_5,6,10,1429,4118,200.49,27.06,3.61,1.0,1.26,6171,1.44,2.35,5.09,CityD,2993,4.07,2
TRIP-0169,2023-03-03 05:07:01.621621622,228,Gasoline,Incomplete,6.62,200,Driver_6,9,9,1767,1297,832.24,19.29,2.82,0.84,1.88,1078,1.16,1.8,2.35,CityE,4731,4.16,7
TRIP-0170,2023-03-03 13:51:42.702702703,112,Gasoline,On-Time,6.32,203,Driver_1,20,9,1834,4943,694.09,13.29,2.59,0.64,0.22,5929,1.6,2.12,3.53,CityE,4076,4.82,9
TRIP-0171,2023-03-03 22:36:23.783783784,401,Diesel,Incomplete,6.73,245,Driver_6,28,14,1105,772,1006.65,23.08,2.3,2.67,0.29,4647,1.45,2.27,4.03,CityB,8600,3.77,24
TRIP-0172,2023-03-04 07:21:04.864864865,280,Gasoline,Late,6.07,259,Driver_5,1,13,586,3510,988.6,17.69,4.93,1.24,0.54,2031,2.1,2.94,3.07,CityD,6228,4.85,4
TRIP-0173,2023-03-04 16:05:45.945945946,290,Diesel,On-Time,6.17,104,Driver_2,8,11,1991,2273,313.01,17.48,1.54,0.5,0.5,8381,1.71,1.14,4.12,CityA,532,4.3,2
TRIP-0174,2023-03-05 00:50:27.027027027,101,Ethanol,On-Time,6.6,55,Driver_6,23,6,898,3047,1468.9,7.75,2.26,1.06,0.53,3072,2.93,1.84,5.53,CityB,4873,4.83,19
TRIP-0175,2023-03-05 09:35:08.108108108,145,Ethanol,On-Time,5.2,212,Driver_7,23,7,1299,3664,402.36,14.74,2.94,1.35,1.41,7911,2.93,1.49,5.78,CityC,4098,4.67,26
TRIP-0176,2023-03-05 18:19:49.189189189,437,Gasoline,Late,5.69,199,Driver_7,3,11,1400,1446,751.12,11.03,2.91,2.98,1.03,7088,1.89,1.95,2.4,CityA,2892,4.38,5
TRIP-0177,2023-03-06 03:04:30.270270270,271,Ethanol,On-Time,6.63,220,Driver_8,4,7,1026,3165,808.96,5.39,2.89,1.81,1.99,2484,2.59,2.84,3.09,CityD,7205,3.71,9
TRIP-0178,2023-03-06 11:49:11.351351352,456,Diesel,Incomplete,6.29,192,Driver_7,26,10,548,1006,1247.63,14.0,1.7,1.01,0.61,6838,1.03,2.45,5.92,CityC,7290,3.48,24
TRIP-0179,2023-03-06 20:33:52.432432433,280,Ethanol,On-Time,6.0,135,Driver_6,25,10,1478,743,283.96,7.25,1.58,1.34,0.76,2550,2.1,2.32,3.08,CityE,3177,3.44,13
TRIP-0180,2023-03-07 05:18:33.513513514,286,Diesel,Late,7.19,109,Driver_3,15,11,1925,1005,728.67,11.42,2.02,1.33,1.97,6497,2.49,1.88,4.77,CityD,1901,4.9,12
TRIP-0181,2023-03-07 14:03:14.594594595,192,Ethanol,Incomplete,7.08,150,Driver_8,6,11,507,3658,998.48,7.31,4.66,0.55,1.7,5682,1.43,2.34,3.01,CityC,1317,4.92,30
TRIP-0182,2023-03-07 22:47:55.675675676,220,Gasoline,Late,5.5,293,Driver_8,15,11,1568,4090,440.46,7.52,1.45,0.84,1.05,2829,1.12,1.06,3.43,CityD,6703,4.45,19
TRIP-0183,2023-03-08 07:32:36.756756757,78,Ethanol,Incomplete,7.64,283,Driver_6,21,7,1350,2372,997.08,9.98,4.03,2.24,1.2,4751,1.31,2.17,2.77,CityC,5062,4.77,9
TRIP-0184,2023-03-08 16:17:17.837837838,85,Ethanol,Incomplete,6.49,61,Driver_9,3,8,486,4293,1396.95,30.0,4.03,0.8,1.72,7081,1.88,2.11,5.43,CityD,5223,4.84,10
TRIP-0185,2023-03-09 01:01:58.918918919,62,Ethanol,Late,7.22,288,Driver_5,25,11,965,1692,1496.65,5.05,4.24,1.08,1.07,7601,2.01,1.69,5.53,CityE,2938,4.02,19
TRIP-0186,2023-03-09 09:46:40.000000000,209,Diesel,Late,6.72,98,Driver_2,21,13,924,4925,193.81,20.97,4.55,1.38,0.57,5459,1.76,1.4,3.19,CityB,7328,4.26,10
TRIP-0187,2023-03-09 18:31:21.081081081,376,Diesel,Late,7.99,91,Driver_7,21,6,961,1964,468.04,8.53,2.05,2.39,1.69,4856,1.88,2.62,5.29,CityC,1710,3.84,12
TRIP-0188,2023-03-10 03:16:02.162162162,236,Gasoline,Late,7.26,215,Driver_2,14,6,1819,890,568.91,28.02,1.9,1.96,1.17,7182,1.94,1.11,3.43,CityC,7141,3.84,14
TRIP-0189,2023-03-10 12:00:43.243243243,292,Diesel,On-Time,7.12,131,Driver_7,20,7,1710,4976,688.82,7.34,2.86,2.22,0.48,7083,2.54,1.14,2.4,CityE,1099,3.08,8
TRIP-0190,2023-03-10 20:45:24.324324325,135,Ethanol,Late,7.34,222,Driver_10,14,11,582,3877,477.05,28.88,2.06,1.92,1.11,8970,1.21,1.88,5.03,CityB,5980,3.87,16
TRIP-0191,2023-03-11 05:30:05.405405406,333,Ethanol,Incomplete,5.43,84,Driver_3,4,14,1629,1172,424.71,20.27,3.94,2.21,0.94,3094,2.54,1.51,4.39,CityD,2346,4.35,17
TRIP-0192,2023-03-11 14:14:46.486486487,115,Diesel,On-Time,5.61,207,Driver_9,12,9,587,3060,1438.65,5.03,3.54,0.51,1.78,7238,2.38,2.49,3.1,CityC,7092,3.84,20
TRIP-0193,2023-03-11 22:59:27.567567568,219,Ethanol,Late,7.14,265,Driver_5,17,8,724,1711,1390.0,27.35,4.5,2.83,0.43,4032,2.48,2.27,3.01,CityB,8361,4.74,4
TRIP-0194,2023-03-12 07:44:08.648648649,94,Gasoline,On-Time,6.48,283,Driver_6,7,13,1780,1429,213.44,18.04,1.33,0.78,1.78,2548,2.47,2.55,5.9,CityD,2387,3.67,6
TRIP-0195,2023-03-12 16:28:49.729729730,111,Gasoline,Incomplete,7.26,207,Driver_2,9,14,838,2039,607.4,11.57,4.66,1.52,1.12,9559,1.94,1.65,5.45,CityC,1179,3.27,12
TRIP-0196,2023-03-13 01:13:30.810810811,490,Diesel,Incomplete,5.31,255,Driver_2,3,10,1137,1412,696.95,24.18,2.17,2.43,0.93,1064,1.42,2.48,5.24,CityC,3752,4.62,28
TRIP-0197,2023-03-13 09:58:11.891891892,183,Diesel,Incomplete,6.61,183,Driver_6,28,14,1849,1143,472.67,28.17,2.96,1.59,0.49,4299,2.07,2.72,2.51,CityD,2335,4.35,18
TRIP-0198,2023-03-13 18:42:52.972972973,333,Gasoline,On-Time,6.14,116,Driver_5,13,7,475,1001,998.98,17.09,2.75,2.87,1.46,5849,2.92,1.69,5.02,CityE,2677,3.48,7
TRIP-0199,2023-03-14 03:27:34.054054054,77,Gasoline,On-Time,6.37,129,Driver_5,15,8,699,1229,1014.51,12.89,4.04,1.67,1.87,6639,2.18,1.68,2.86,CityB,8642,4.07,5
TRIP-0200,2023-03-14 12:12:15.135135135,157,Diesel,Late,6.81,56,Driver_8,18,12,916,1783,1298.18,24.72,2.68,2.69,0.88,3035,1.02,2.8,5.91,CityC,648,3.8,10
TRIP-0201,2023-03-14 20:56:56.216216216,93,Diesel,Late,6.51,229,Driver_10,19,12,536,2618,1150.17,22.04,4.77,2.53,0.63,6674,1.12,1.1,2.21,CityD,1995,4.88,6
TRIP-0202,2023-03-15 05:41:37.297297297,389,Diesel,Late,6.62,63,Driver_7,1,11,1131,4886,882.47,27.22,4.61,2.95,1.2,3228,2.99,1.7,3.41,CityC,2244,4.21,27
TRIP-0203,2023-03-15 14:26:18.378378379,335,Ethanol,Incomplete,6.46,122,Driver_3,6,11,680,4336,1032.34,22.31,4.49,2.82,1.63,6620,1.14,1.24,3.71,CityD,2146,3.32,14
TRIP-0204,2023-03-15 23:10:59.459459460,495,Diesel,Late,6.23,192,Driver_8,27,7,1110,1419,519.88,11.09,1.29,2.75,0.21,1596,1.09,1.06,5.3,CityC,3495,4.0,6
TRIP-0205,2023-03-16 07:55:40.540540541,380,Diesel,On-Time,7.32,198,Driver_6,27,11,1496,4550,950.63,28.29,4.42,2.33,1.34,4606,1.71,1.23,5.06,CityA,7143,4.73,30
TRIP-0206,2023-03-16 16:40:21.621621622,177,Ethanol,Late,5.04,212,Driver_8,23,9,1281,2839,810.46,7.62,4.13,1.42,1.27,4889,2.94,1.86,3.5,CityE,7878,4.34,14
TRIP-0207,2023-03-17 01:25:02.702702703,397,Gasoline,Incomplete,6.8,115,Driver_1,27,8,1551,1255,330.02,11.7,1.41,0.77,0.77,4506,1.64,2.37,4.26,CityB,9349,4.68,12
TRIP-0208,2023-03-17 10:09:43.783783784,280,Diesel,Late,6.7,140,Driver_6,27,7,1954,2369,477.43,18.0,1.43,2.22,1.01,2395,1.82,1.58,5.34,CityE,4167,3.5,30
TRIP-0209,2023-03-17 18:54:24.864864865,239,Ethanol,Incomplete,7.15,179,Driver_10,2,6,308,4972,543.79,19.14,1.4,2.95,0.64,8529,2.27,2.7,2.07,CityE,9745,4.78,27
TRIP-0210,2023-03-18 03:39:05.945945946,274,Diesel,Incomplete,6.8,212,Driver_7,24,10,1502,1007,1397.82,5.38,1.05,2.32,1.62,9303,1.05,1.88,5.21,CityB,1076,4.51,22
TRIP-0211,2023-03-18 12:23:47.027027027,434,Diesel,Incomplete,7.48,259,Driver_5,14,7,1909,1936,461.02,24.51,3.19,2.82,1.34,1452,2.8,2.94,5.79,CityE,5279,4.46,26
TRIP-0212,2023-03-18 21:08:28.108108108,426,Ethanol,Late,7.88,255,Driver_1,6,7,527,3075,540.48,14.04,4.89,2.51,1.16,8336,2.04,2.91,2.13,CityA,8687,3.69,12
TRIP-0213,2023-03-19 05:53:09.189189189,332,Gasoline,On-Time,6.03,69,Driver_2,14,12,1999,3926,648.63,15.16,2.75,0.91,0.91,3631,1.93,2.55,2.18,CityD,3472,4.78,8
TRIP-0214,2023-03-19 14:37:50.270270270,495,Ethanol,Late,5.68,259,Driver_7,4,13,514,1058,1046.05,25.23,3.16,1.12,0.72,3186,2.72,2.86,3.38,CityB,8256,4.28,10
TRIP-0215,2023-03-19 23:22:31.351351352,170,Diesel,Incomplete,6.27,59,Driver_6,21,13,1697,3602,309.62,14.48,4.87,1.35,1.68,6967,2.91,2.41,2.35,CityD,4448,4.7,16
TRIP-0216,2023-03-20 08:07:12.432432433,165,Gasoline,Late,5.86,74,Driver_9,8,9,1334,4122,1437.83,6.18,2.02,0.92,1.01,7374,1.85,2.79,3.92,CityC,7044,3.72,20
TRIP-0217,2023-03-20 16:51:53.513513514,282,Ethanol,Late,6.84,243,Driver_3,30,6,898,4899,1318.52,9.41,4.43,1.95,1.1,6358,1.34,1.47,4.91,CityA,2545,3.29,26
TRIP-0218,2023-03-21 01:36:34.594594595,308,Ethanol,Late,7.74,74,Driver_1,3,12,980,4557,929.24,28.9,3.19,2.94,1.14,5348,2.63,1.69,4.27,CityD,2127,3.66,8
TRIP-0219,2023-03-21 10:21:15.675675676,408,Gasoline,Incomplete,5.42,103,Driver_3,19,6,1452,4215,1059.95,6.76,3.28,2.4,1.01,2459,1.81,2.51,2.79,CityD,1988,3.91,9
TRIP-0220,2023-03-21 19:05:56.756756757,247,Diesel,Incomplete,5.3,82,Driver_10,30,9,1720,1801,172.49,13.87,2.37,1.56,0.66,2942,2.87,1.85,4.62,CityB,9627,4.07,13
TRIP-0221,2023-03-22 03:50:37.837837838,460,Ethanol,Late,5.77,213,Driver_8,14,13,355,2655,607.58,17.58,3.25,0.51,0.42,6422,2.9,2.67,4.74,CityC,4063,4.02,29
TRIP-0222,2023-03-22 12:35:18.918918919,186,Ethanol,Late,7.18,144,Driver_1,27,7,1696,1192,1224.14,17.33,1.29,1.28,0.38,6196,1.23,2.76,5.73,CityB,2302,4.09,20
TRIP-0223,2023-03-22 21:20:00.000000000,367,Ethanol,Late,6.78,63,Driver_3,20,11,1924,4850,254.6,5.1,4.06,1.82,1.56,1061,2.91,1.6,2.59,CityC,4091,4.68,17
TRIP-0224,2023-03-23 06:04:41.081081081,214,Diesel,On-Time,5.31,114,Driver_2,17,11,1495,1978,531.12,17.53,2.14,1.31,0.6,2494,1.74,2.65,4.77,CityB,4020,3.34,19
TRIP-0225,2023-03-23 14:49:22.162162162,274,Ethanol,Incomplete,7.76,159,Driver_4,25,14,1086,756,940.15,14.59,4.55,0.78,0.3,2180,2.29,1.31,5.65,CityD,6396,3.63,17
TRIP-0226,2023-03-23 23:34:03.243243243,356,Gasoline,On-Time,7.37,129,Driver_6,8,10,1225,2930,496.16,29.3,2.47,1.61,1.64,7268,1.07,1.67,4.01,CityD,8143,4.78,7
TRIP-0227,2023-03-24 08:18:44.324324325,283,Gasoline,Incomplete,5.07,103,Driver_6,24,9,957,941,1410.87,8.98,1.57,1.13,0.48,3788,2.78,2.04,3.45,CityA,7541,4.12,28
TRIP-0228,2023-03-24 17:03:25.405405406,221,Ethanol,Late,6.95,287,Driver_7,14,10,921,2381,326.93,13.85,3.78,2.77,1.33,5636,2.28,1.45,2.68,CityD,3811,4.17,1
TRIP-0229,2023-03-25 01:48:06.486486487,201,Ethanol,On-Time,7.31,174,Driver_10,26,10,1734,3146,1226.48,15.49,1.66,0.75,0.81,5721,2.29,2.16,5.47,CityE,2805,3.96,27
TRIP-0230,2023-03-25 10:32:47.567567568,364,Gasoline,Late,6.12,229,Driver_1,6,13,1112,4320,835.73,14.77,4.01,0.62,0.43,6710,2.8,2.16,3.58,CityD,8375,4.1,20
TRIP-0231,2023-03-25 19:17:28.648648649,423,Gasoline,On-Time,5.21,180,Driver_10,23,13,1509,2235,1162.95,21.65,4.87,0.51,0.95,8702,2.02,1.41,5.7,CityE,2467,3.4,29
TRIP-0232,2023-03-26 04:02:09.729729730,209,Ethanol,Late,5.23,276,Driver_3,22,7,1070,4235,569.47,10.39,4.12,1.32,0.23,1105,1.82,2.59,5.39,CityD,8509,4.09,14
TRIP-0233,2023-03-26 12:46:50.810810811,145,Gasoline,Incomplete,5.31,218,Driver_8,16,12,212,3145,844.56,10.53,1.09,2.15,1.71,5087,2.73,2.26,3.51,CityE,5962,4.99,17
TRIP-0234,2023-03-26 21:31:31.891891892,282,Diesel,Late,7.52,183,Driver_6,25,13,807,518,1306.73,23.23,3.4,2.33,1.12,4925,2.48,1.64,4.3,CityE,7397,4.13,13
TRIP-0235,2023-03-27 06:16:12.972972973,229,Diesel,Incomplete,7.73,74,Driver_6,19,11,697,1624,780.29,17.51,3.78,1.63,0.45,2908,2.9,1.46,2.11,CityD,3958,3.09,29
TRIP-0236,2023-03-27 15:00:54.054054054,162,Diesel,Late,5.37,190,Driver_8,14,10,1956,4485,635.62,15.38,4.3,2.21,0.63,3049,2.88,2.76,3.05,CityE,9085,4.59,2
TRIP-0237,2023-03-27 23:45:35.135135135,367,Diesel,Late,5.71,166,Driver_2,19,14,437,3154,873.81,9.23,1.22,1.4,1.01,9172,1.76,2.67,4.84,CityA,5278,3.79,27
TRIP-0238,2023-03-28 08:30:16.216216216,491,Gasoline,Incomplete,5.5,275,Driver_10,3,8,1317,2580,1118.44,9.69,2.92,2.17,0.54,4904,1.89,1.46,4.71,CityC,4230,3.31,14
TRIP-0239,2023-03-28 17:14:57.297297298,101,Diesel,Incomplete,5.56,185,Driver_3,10,9,1561,2047,748.81,5.26,3.14,0.6,0.68,4796,1.51,1.07,3.41,CityE,4865,4.73,1
TRIP-0240,2023-03-29 01:59:38.378378379,317,Ethanol,On-Time,7.51,198,Driver_9,19,14,980,1361,1417.48,7.29,1.68,1.48,1.16,1292,2.32,2.61,5.23,CityE,8047,3.4,29
TRIP-0241,2023-03-29 10:44:19.459459460,344,Ethanol,Late,6.0,275,Driver_6,9,11,1394,654,548.18,18.92,2.29,2.48,1.7,7266,1.73,2.23,2.94,CityA,527,4.84,5
TRIP-0242,2023-03-29 19:29:00.540540541,435,Diesel,On-Time,5.93,245,Driver_7,28,13,805,3994,791.88,27.3,2.76,2.51,0.92,7370,2.57,1.2,3.85,CityA,3991,3.88,7
TRIP-0243,2023-03-30 04:13:41.621621622,436,Ethanol,On-Time,5.68,74,Driver_6,20,12,860,1404,1171.85,12.18,4.33,2.29,1.49,5860,1.24,2.17,3.89,CityB,6923,4.49,19
TRIP-0244,2023-03-30 12:58:22.702702703,162,Diesel,Incomplete,6.82,128,Driver_5,13,7,1847,1769,1080.31,13.19,4.72,1.01,1.78,4729,1.23,1.9,3.36,CityC,5801,4.09,14
TRIP-0245,2023-03-30 21:43:03.783783784,150,Diesel,Incomplete,6.14,117,Driver_4,7,8,1790,904,1315.92,7.89,3.51,1.12,0.59,8962,1.41,2.55,5.82,CityB,6660,3.51,24
TRIP-0246,2023-03-31 06:27:44.864864865,162,Diesel,Late,7.23,222,Driver_2,14,6,1048,1343,1495.69,14.72,2.58,2.99,1.65,6510,1.17,1.42,4.79,CityE,1673,4.34,14
TRIP-0247,2023-03-31 15:12:25.945945946,489,Ethanol,On-Time,5.62,237,Driver_1,9,14,1135,2282,726.26,5.93,2.02,0.76,1.56,9619,2.24,1.91,4.16,CityA,838,4.92,15
TRIP-0248,2023-03-31 23:57:07.027027027,130,Ethanol,Late,7.36,61,Driver_3,27,12,1690,2064,300.05,27.94,4.93,0.95,0.84,7761,1.29,1.31,4.04,CityE,9760,4.54,5
TRIP-0249,2023-04-01 08:41:48.108108108,236,Diesel,On-Time,6.81,81,Driver_8,28,6,827,1684,191.06,21.83,4.93,0.83,1.98,7110,1.32,2.92,2.64,CityD,1341,4.21,5
TRIP-0250,2023-04-01 17:26:29.189189189,162,Diesel,Incomplete,5.34,177,Driver_9,23,8,342,1246,1131.28,29.77,4.7,1.32,0.67,7955,1.03,2.56,3.49,CityC,793,4.98,29
TRIP-0251,2023-04-02 02:11:10.270270271,51,Diesel,Late,6.24,145,Driver_7,25,9,1424,2225,1329.92,27.07,4.14,1.03,0.66,1106,2.56,2.47,4.69,CityD,7058,3.53,21
TRIP-0252,2023-04-02 10:55:51.351351352,179,Diesel,On-Time,7.59,141,Driver_9,28,9,1403,3688,447.96,16.82,2.3,1.74,1.59,5754,2.62,2.38,5.7,CityA,2147,3.12,24
TRIP-0253,2023-04-02 19:40:32.432432433,269,Gasoline,Incomplete,7.77,190,Driver_2,19,10,913,770,363.9,17.99,4.27,1.69,0.98,6278,1.32,1.85,5.27,CityA,5398,3.06,2
TRIP-0254,2023-04-03 04:25:13.513513514,103,Diesel,On-Time,6.4,80,Driver_5,15,8,1587,4456,233.98,9.76,2.64,2.75,0.8,7408,2.48,2.85,3.2,CityA,5026,4.42,18
